date,department_id,occupied_beds,emergency_cases,revenue,total_beds,occupancy_rate,day_of_week,month,weekend
2025-07-04,2,1,0,85088,35,2.857142857142857,4,7,0
2025-07-04,8,1,1,120359,37,2.7027027027027026,4,7,0
2025-07-04,12,1,1,62001,49,2.0408163265306123,4,7,0
2025-07-05,2,2,1,144944,35,5.714285714285714,5,7,1
2025-07-05,8,1,1,120359,37,2.7027027027027026,5,7,1
2025-07-05,10,1,0,89674,46,2.1739130434782608,5,7,1
2025-07-05,12,1,1,62001,49,2.0408163265306123,5,7,1
2025-07-06,2,3,2,185836,35,8.571428571428571,6,7,1
2025-07-06,5,1,1,121020,48,2.083333333333333,6,7,1
2025-07-06,8,3,2,332145,37,8.108108108108109,6,7,1
2025-07-06,9,1,1,115407,37,2.7027027027027026,6,7,1
2025-07-06,10,1,0,89674,46,2.1739130434782608,6,7,1
2025-07-06,12,1,1,62001,49,2.0408163265306123,6,7,1
2025-07-07,1,1,0,70791,39,2.564102564102564,0,7,0
2025-07-07,2,3,2,185836,35,8.571428571428571,0,7,0
2025-07-07,5,1,1,121020,48,2.083333333333333,0,7,0
2025-07-07,8,4,2,448765,37,10.81081081081081,0,7,0
2025-07-07,9,1,1,115407,37,2.7027027027027026,0,7,0
2025-07-07,10,1,0,89674,46,2.1739130434782608,0,7,0
2025-07-07,12,1,1,62001,49,2.0408163265306123,0,7,0
2025-07-08,1,1,0,70791,39,2.564102564102564,1,7,0
2025-07-08,2,2,1,144944,35,5.714285714285714,1,7,0
2025-07-08,3,1,0,141076,44,2.272727272727273,1,7,0
2025-07-08,5,1,1,121020,48,2.083333333333333,1,7,0
2025-07-08,7,2,1,89968,47,4.25531914893617,1,7,0
2025-07-08,8,3,1,307932,37,8.108108108108109,1,7,0
2025-07-08,9,1,1,115407,37,2.7027027027027026,1,7,0
2025-07-08,10,1,0,89674,46,2.1739130434782608,1,7,0
2025-07-08,12,2,2,71519,49,4.081632653061225,1,7,0
2025-07-09,1,1,0,70791,39,2.564102564102564,2,7,0
2025-07-09,2,1,1,59856,35,2.857142857142857,2,7,0
2025-07-09,3,1,0,141076,44,2.272727272727273,2,7,0
2025-07-09,5,1,1,121020,48,2.083333333333333,2,7,0
2025-07-09,7,3,1,222240,47,6.382978723404255,2,7,0
2025-07-09,8,3,1,287677,37,8.108108108108109,2,7,0
2025-07-09,9,1,1,115407,37,2.7027027027027026,2,7,0
2025-07-09,10,1,0,89674,46,2.1739130434782608,2,7,0
2025-07-09,12,2,2,71519,49,4.081632653061225,2,7,0
2025-07-10,1,1,0,70791,39,2.564102564102564,3,7,0
2025-07-10,2,1,1,59856,35,2.857142857142857,3,7,0
2025-07-10,3,1,0,141076,44,2.272727272727273,3,7,0
2025-07-10,5,2,1,162699,48,4.166666666666666,3,7,0
2025-07-10,7,4,1,256942,47,8.51063829787234,3,7,0
2025-07-10,8,4,1,420946,37,10.81081081081081,3,7,0
2025-07-10,9,1,1,115407,37,2.7027027027027026,3,7,0
2025-07-10,10,1,0,89674,46,2.1739130434782608,3,7,0
2025-07-10,12,2,2,71519,49,4.081632653061225,3,7,0
2025-07-11,1,1,0,70791,39,2.564102564102564,4,7,0
2025-07-11,2,2,2,204831,35,5.714285714285714,4,7,0
2025-07-11,3,2,1,260224,44,4.545454545454546,4,7,0
2025-07-11,5,2,1,162699,48,4.166666666666666,4,7,0
2025-07-11,6,1,1,114767,40,2.5,4,7,0
2025-07-11,7,4,2,237499,47,8.51063829787234,4,7,0
2025-07-11,8,3,1,291093,37,8.108108108108109,4,7,0
2025-07-11,12,2,2,71519,49,4.081632653061225,4,7,0
2025-07-12,1,1,0,70791,39,2.564102564102564,5,7,1
2025-07-12,2,1,1,144975,35,2.857142857142857,5,7,1
2025-07-12,3,2,1,260224,44,4.545454545454546,5,7,1
2025-07-12,5,3,1,223287,48,6.25,5,7,1
2025-07-12,6,1,1,114767,40,2.5,5,7,1
2025-07-12,7,4,2,237499,47,8.51063829787234,5,7,1
2025-07-12,8,3,1,291093,37,8.108108108108109,5,7,1
2025-07-12,9,1,1,133245,37,2.7027027027027026,5,7,1
2025-07-12,10,1,1,25549,46,2.1739130434782608,5,7,1
2025-07-12,12,2,2,71519,49,4.081632653061225,5,7,1
2025-07-13,1,1,0,70791,39,2.564102564102564,6,7,1
2025-07-13,2,1,1,144975,35,2.857142857142857,6,7,1
2025-07-13,3,2,1,260224,44,4.545454545454546,6,7,1
2025-07-13,5,2,1,181608,48,4.166666666666666,6,7,1
2025-07-13,6,2,2,245199,40,5.0,6,7,1
